imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0039420,The Ghost and Mrs. Muir,1947,1948-09-04,"Comedy, Drama, Fantasy",104,USA,English,7.9,,$ 29545
tt0039437,Green Dolphin Street,1947,1947-11-05,"Adventure, Romance, Drama",141,USA,"Maori, English",6.8,,$ 2482
tt0039631,Monsieur Verdoux,1947,1948-02-26,"Comedy, Crime, Drama",124,USA,English,7.9,$ 2000000,$ 64636
tt0039677,Odd Man Out,1947,1947-09-27,"Crime, Drama, Thriller",116,UK,English,7.7,,$ 65759
tt0039694,The Paradine Case,1947,1952-02-02,"Crime, Drama, Romance",125,USA,English,6.6,$ 4258000,$ 6789
tt0039739,Quai des Orfèvres,1947,1948-05-19,"Crime, Drama",106,France,French,7.8,,$ 180974
tt0039808,The Secret Life of Walter Mitty,1947,1947-09-01,"Comedy, Fantasy, Romance",110,USA,"English, French, German",7.0,,$ 956625
tt0040009,Yi jiang chun shui xiang dong liu,1947,1947,"Drama, War",192,China,"Mandarin, Japanese",7.4,,$ 6962
tt0040068,Bud Abbott Lou Costello Meet Frankenstein,1948,1950-04-04,"Comedy, Fantasy, Horror",83,USA,English,7.4,$ 800000,$ 16444
tt0040338,The Fallen Idol,1948,1949-05-04,"Drama, Mystery, Thriller",95,UK,"English, French",7.7,,$ 373185
tt0040366,Force of Evil,1948,1950-08-24,"Crime, Drama, Film-Noir",79,USA,English,7.3,,$ 1165000
tt0040481,It Always Rains on Sunday,1947,1948,"Crime, Drama",92,UK,"English, Yiddish",7.2,,$ 38313
tt0040506,Key Largo,1948,1949-11-11,"Action, Crime, Drama",100,USA,"English, Italian",7.8,,$ 9524420
tt0040522,Ladri di biciclette,1948,1948-11-24,Drama,89,Italy,"Italian, English",8.3,$ 133000,$ 428978
tt0040536,Letter from an Unknown Woman,1948,1948-12-13,"Drama, Romance",87,USA,English,8.0,,$ 852
tt0040682,Les parents terribles,1948,1948-12-01,Drama,105,France,French,6.9,,$ 11818
tt0040725,The Red Shoes,1948,1949-04-02,"Drama, Music, Romance",135,UK,"English, French, Russian",8.1,GBP 500000,$ 30165
tt0040740,Road House,1948,1949-07-06,"Action, Drama, Film-Noir",95,USA,English,7.3,,$ 4467
tt0040746,Rope,1948,1956-11-17,"Crime, Drama, Mystery",80,USA,English,8.0,$ 1500000,$ 10046
tt0040897,The Treasure of the Sierra Madre,1948,1948-11-20,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",8.2,$ 3000000,$ 215295
